config,p_max_um,p_sister_max_um,p_existing_child_max_um,p_frame_frac_cap,p_global_frac_cap,p_safe_div_on,errs,all_score,all_adj,all_edgeJ,all_divJ,all_dTP,all_dFP,all_dFN,rich_score,rich_divJ,rich_edgeJ,ctrl_score,ctrl_divJ,ctrl_edgeJ,secs
baseline,4.66,8.5,7.65,0.0076,0.00375,True,0,0.8947986424037507,0.8925085660678729,0.8896125400154542,0.022900763358778626,3,58,70,0.8818432911099915,0.02564102564102564,0.8772403738958923,0.9725437262670189,0.0,0.964461738002594,206.8
gcap_0.0075,4.66,8.5,7.65,0.0076,0.0075,True,0,0.894782385480775,0.8925435795106258,0.8896574561242135,0.022388059701492536,3,61,70,0.8818211234247959,0.025,0.8772937746527182,0.9725437262670189,0.0,0.964461738002594,206.4
gcap_0.015,4.66,8.5,7.65,0.0076,0.015,True,0,0.894782385480775,0.8925435795106258,0.8896574561242135,0.022388059701492536,3,61,70,0.8818211234247959,0.025,0.8772937746527182,0.9725437262670189,0.0,0.964461738002594,204.6
gcap_0.03,4.66,8.5,7.65,0.0076,0.03,True,0,0.894782385480775,0.8925435795106258,0.8896574561242135,0.022388059701492536,3,61,70,0.8818211234247959,0.025,0.8772937746527182,0.9725437262670189,0.0,0.964461738002594,204.2
gcap_0.1,4.66,8.5,7.65,0.0076,0.1,True,0,0.894782385480775,0.8925435795106258,0.8896574561242135,0.022388059701492536,3,61,70,0.8818211234247959,0.025,0.8772937746527182,0.9725437262670189,0.0,0.964461738002594,203.4
gcap_0.06,4.66,8.5,7.65,0.0076,0.06,True,0,0.894782385480775,0.8925435795106258,0.8896574561242135,0.022388059701492536,3,61,70,0.8818211234247959,0.025,0.8772937746527182,0.9725437262670189,0.0,0.964461738002594,204.7
fcap_0.02,4.66,8.5,7.65,0.02,0.03,True,0,0.8947223910199766,0.8926244889220746,0.8897513243084167,0.02097902097902098,3,70,70,0.8817443110963993,0.023255813953488372,0.8774058039350165,0.9725407423247389,0.0,0.964461738002594,203.4
fcap_0.05,4.66,8.5,7.65,0.05,0.03,True,0,0.8947201470225101,0.8926222449246081,0.8897513243084167,0.02097902097902098,3,70,70,0.8817443110963993,0.023255813953488372,0.8774058039350165,0.9725249185044718,0.0,0.964461738002594,203.7
exchild_11.0,4.66,8.5,11.0,0.05,0.03,True,0,0.8947201470225101,0.8926222449246081,0.8897513243084167,0.02097902097902098,3,70,70,0.8817443110963993,0.023255813953488372,0.8774058039350165,0.9725249185044718,0.0,0.964461738002594,205.8
fcap_0.1,4.66,8.5,7.65,0.1,0.03,True,0,0.8947201470225101,0.8926222449246081,0.8897513243084167,0.02097902097902098,3,70,70,0.8817443110963993,0.023255813953488372,0.8774058039350165,0.9725249185044718,0.0,0.964461738002594,205.0
exchild_9.0,4.66,8.5,9.0,0.05,0.03,True,0,0.8947201470225101,0.8926222449246081,0.8897513243084167,0.02097902097902098,3,70,70,0.8817443110963993,0.023255813953488372,0.8774058039350165,0.9725249185044718,0.0,0.964461738002594,206.7
sister_12.0,4.66,12.0,7.65,0.05,0.03,True,0,0.8947167374178576,0.8926188353199556,0.8897513243084167,0.02097902097902098,3,70,70,0.8817403909669885,0.023255813953488372,0.8774058039350165,0.9725245984023063,0.0,0.964461738002594,207.7
sister_10.0,4.66,10.0,7.65,0.05,0.03,True,0,0.8947167374178576,0.8926188353199556,0.8897513243084167,0.02097902097902098,3,70,70,0.8817403909669885,0.023255813953488372,0.8774058039350165,0.9725245984023063,0.0,0.964461738002594,206.1
maxum_5.5,5.5,8.5,7.65,0.05,0.03,True,0,0.8933255398126853,0.8911131504321543,0.8883956414865906,0.022123893805309734,5,153,68,0.8800726252921262,0.024509803921568627,0.8757692307692307,0.9729646488643893,0.0,0.964998703655691,205.3
safe_OFF,4.66,8.5,7.65,0.0076,0.00375,False,0,0.8925522665412328,0.8925522665412328,0.889547949747633,0.0,0,0,73,0.8793745748627646,0.0,0.8772163310865926,0.9722790125844949,0.0,0.9641558441558442,197.6
combo_A,6.5,10.0,7.65,0.05,0.05,True,0,0.8925079899423773,0.8890811986651188,0.8866013310904702,0.03426791277258567,11,248,62,0.8786851554260704,0.034129692832764506,0.8736640408771557,0.9766476179350189,0.03571428571428571,0.9652939652939653,207.2
combo_B,6.5,10.0,9.0,0.08,0.08,True,0,0.8925074155570148,0.8890806242797563,0.8866013310904702,0.03426791277258567,11,248,62,0.8786844866101401,0.034129692832764506,0.8736640408771557,0.9766476179350189,0.03571428571428571,0.9652939652939653,206.6
maxum_6.5,6.5,8.5,7.65,0.05,0.03,True,0,0.8916166754339605,0.8892987946392585,0.8867586257363433,0.023178807947019868,7,229,66,0.8780612519272426,0.025454545454545455,0.8738443185207277,0.9731072735589701,0.0,0.9652849740932643,205.2
combo_C,7.0,11.0,9.0,0.1,0.12,True,0,0.8915310195740754,0.8874284554715113,0.8851932895696571,0.041025641025641026,16,317,57,0.8779284790067363,0.041666666666666664,0.8724099864130435,0.9739770884510991,0.03333333333333333,0.9630299896587383,208.5
maxum_7.5,7.5,8.5,7.65,0.05,0.03,True,0,0.8883302860580526,0.886063283539161,0.883791268857955,0.022670025188916875,9,324,64,0.8749280320803393,0.024793388429752067,0.8710539714867617,0.9688894746162773,0.0,0.9612803304078472,207.4
